Health_Camp_ID,Camp_Start_Date,Camp_End_Date,Category1
6560,16-Aug-03,20-Aug-03,First
6530,16-Aug-03,28-Oct-03,First
6544,03-Nov-03,15-Nov-03,First
6585,22-Nov-03,05-Dec-03,First
6561,30-Nov-03,18-Dec-03,First
6581,07-Dec-03,13-Jun-04,First
6564,17-Dec-03,11-Jun-04,First
6557,04-Jan-04,09-Jan-04,First
6538,09-Jan-04,04-Feb-05,First
6546,09-Jan-04,17-Jan-04,First
6535,01-Feb-04,18-Feb-04,First
6553,26-Apr-04,04-May-04,First
6565,29-Apr-04,04-May-04,First
6552,21-May-04,24-May-04,First
6539,07-Aug-04,12-Feb-05,First
6558,22-Aug-04,27-Aug-04,First
6563,09-Sep-04,14-Sep-04,First
6569,17-Sep-04,20-Sep-04,First
6586,01-Oct-04,18-Oct-04,First
6540,01-Nov-04,04-Nov-04,First
6562,24-Nov-04,02-Jun-05,First
6531,09-Dec-04,14-Dec-04,First
6580,22-Dec-04,06-Jan-05,First
6526,03-Jan-05,20-Feb-05,First
6536,15-Feb-05,18-Feb-05,Second
6542,19-Feb-05,23-Aug-05,First
6532,19-Feb-05,23-Aug-05,First
6523,23-Feb-05,16-Sep-05,Second
6524,13-May-05,21-May-05,First
6527,13-Jun-05,22-Jul-05,Third
6554,19-Jun-05,01-Jul-05,First
6549,23-Jun-05,27-Jun-05,Second
6570,09-Jul-05,22-Jul-05,First
6587,02-Aug-05,09-Aug-05,First
6578,16-Aug-05,14-Oct-05,Third
6555,15-Sep-05,19-Sep-05,Second
6543,27-Sep-05,07-Nov-07,First
6537,27-Sep-05,07-Nov-07,First
6571,09-Oct-05,12-Oct-05,First
6575,12-Oct-05,14-Oct-05,First
6534,17-Oct-05,07-Nov-07,Second
6541,03-Dec-05,30-Jan-06,Third
6528,10-Feb-06,25-Apr-06,Third
6529,30-Mar-06,03-Apr-06,Second
6547,02-Apr-06,07-Apr-06,First
6582,06-Apr-06,07-Nov-07,First
6525,08-Apr-06,17-Apr-06,First
6566,18-Apr-06,25-Apr-06,First
6574,12-May-06,18-Aug-06,Third
6548,13-Jun-06,18-Aug-06,Third
6572,05-Jul-06,10-Jul-06,First
6583,02-Aug-06,05-Aug-06,Second
6584,04-Aug-06,09-Aug-06,Second
6568,17-Aug-06,13-Sep-06,First
6576,19-Aug-06,07-Nov-07,Third
6533,20-Sep-06,23-Sep-06,First
6545,22-Sep-06,27-Sep-06,First
6579,22-Sep-06,27-Sep-06,Second
6550,12-Oct-06,18-Dec-06,Third
6573,09-Nov-06,16-Mar-07,Third
6556,09-Nov-06,15-Dec-06,First
6551,13-Nov-06,18-Nov-06,Second
6559,11-Dec-06,12-Mar-07,First
6567,30-Jan-07,04-Feb-07,Second
6577,30-Jan-07,08-Mar-07,Third
