,camp_ID,Win Rate SVC,Win Rate KNN,Win Rate Logistic Regression,Camp Size (Number of Patients),knn2,svc2,log2,knn3,svc3,log3,knn4,svc4,log4
0,6578,0.345,0.336,0.362,2835,0.361,0.348,0.349,0.366,0.335,0.338,0.362,0.335,0.345
1,6532,0.874,0.861,0.863,1991,0.5,0.5,0.667,0.5,0.6,0.5,0.843,0.861,0.886
2,6543,0.88,0.877,0.852,6541,0.883,0.865,0.857,0.885,0.864,0.856,0.878,0.881,0.837
3,6580,0.935,0.925,0.913,3515,0.921,0.934,0.925,0.92,0.934,0.919,0.926,0.924,0.929
4,6570,0.92,0.918,0.927,3562,0.913,0.925,0.926,0.932,0.915,0.908,0.918,0.921,0.926
5,6542,0.836,0.81,0.866,2366,0.85,0.828,0.857,0.845,0.842,0.853,0.858,0.845,0.805
6,6571,0.92,0.892,0.899,2084,0.911,0.897,0.908,0.902,0.906,0.908,0.906,0.903,0.907
7,6527,0.379,0.344,0.428,4142,0.413,0.41,0.384,0.406,0.32,0.43,0.295,0.42,0.3
8,6526,0.954,0.969,0.959,3807,0.97,0.966,0.944,0.965,0.965,0.958,0.966,0.965,0.953
9,6539,0.883,0.861,0.871,1990,0.333,0.75,0.5,0.5,0.5,0.667,0.846,0.884,0.886
10,6528,0.306,0.305,0.243,1742,0.5,0.667,0.5,0.5,0.667,0.5,0.313,0.283,0.271
11,6555,0.646,0.61,0.489,1736,0.5,0.333,0.5,0.5,0.333,0.5,0.6,0.602,0.634
12,6541,0.409,0.382,0.429,1545,0.5,0.333,0.5,0.5,0.333,0.5,0.401,0.373,0.432
13,6523,0.277,0.258,0.315,2082,0.303,0.3,0.29,0.29,0.309,0.264,0.301,0.306,0.25
14,6538,0.841,0.837,0.845,3952,0.839,0.843,0.843,0.839,0.845,0.84,0.848,0.824,0.842
15,6549,0.682,0.719,0.687,1833,0.75,0.667,0.5,0.5,0.667,0.75,0.718,0.679,0.682
16,6586,0.766,0.789,0.675,2622,0.789,0.723,0.769,0.798,0.745,0.681,0.782,0.687,0.796
17,6554,0.843,0.859,0.846,2301,0.844,0.857,0.848,0.839,0.863,0.835,0.844,0.845,0.862
18,6529,0.495,0.573,0.577,3821,0.581,0.556,0.51,0.564,0.566,0.574,0.565,0.575,0.566
19,6540,0.888,0.901,0.906,1424,0.5,0.5,0.4,0.667,0.333,0.333,0.893,0.897,0.905
20,6534,0.305,0.296,0.283,3595,0.303,0.287,0.285,0.28,0.303,0.306,0.297,0.291,0.297
21,6535,0.871,0.831,0.884,1880,0.5,0.75,0.667,0.8,0.5,0.5,0.843,0.861,0.888
22,6561,0.542,0.685,0.592,198,0.5,0.5,0.333,0.5,0.5,0.4,0.385,0.62,0.682
23,6585,0.735,0.787,0.752,1396,0.5,0.6,0.5,0.5,0.5,0.667,0.797,0.731,0.706
24,6536,0.565,0.57,0.495,2035,0.573,0.493,0.557,0.554,0.549,0.564,0.552,0.536,0.572
25,6562,0.963,0.959,0.957,2336,0.956,0.957,0.968,0.968,0.959,0.946,0.96,0.951,0.969
26,6537,0.881,0.864,0.877,3857,0.878,0.876,0.869,0.883,0.838,0.883,0.888,0.84,0.859
27,6581,0.943,0.935,0.938,1483,0.667,0.5,0.75,0.667,0.5,0.75,0.939,0.943,0.933
28,6524,0.655,0.538,0.667,147,0.667,0.667,0.333,0.5,0.667,0.5,0.633,0.658,0.538
29,6587,0.462,0.581,0.556,77,0.531,0.536,0.542,0.308,0.6,0.556,0.585,0.429,0.545
30,6557,0.35,0.3,0.294,50,0.375,0.227,0.368,0.125,0.316,0.367,0.3,0.28,0.364
31,6546,0.931,0.967,0.936,401,0.957,0.904,0.966,0.951,0.946,0.949,0.939,0.972,0.919
32,6569,0.374,0.357,0.296,175,0.5,0.2,0.5,0.333,0.5,0.25,0.268,0.403,0.273
33,6564,0.915,0.884,0.885,512,0.88,0.912,0.901,0.893,0.911,0.886,0.915,0.871,0.903
34,6575,0.36,0.32,0.533,88,0.467,0.387,0.441,0.413,0.333,0.475,0.321,0.5,0.459
35,6552,0.125,0.514,0.548,80,0.429,0.529,0.5,0.381,0.538,0.519,0.412,0.488,0.556
36,6558,0.583,0.526,0.5,42,0.72,0.462,0.273,0.588,0.455,0.571,0.412,0.643,0.611
