Health_Camp_ID,False Positive,False Negative,Y Count,Test Size
6578,206,362,362,568
6532,0,0,52,399
6543,10,5,158,1309
6580,4,3,56,704
6570,3,2,63,713
6542,0,0,80,474
6571,1,4,41,418
6527,307,522,522,829
6526,1,1,32,762
6539,0,0,48,399
6528,95,253,253,349
6555,207,138,138,348
6541,141,169,169,310
6523,117,300,300,417
6538,4,3,132,791
6549,132,88,129,367
6586,2,2,119,525
6554,12,12,71,461
6529,419,346,346,765
6540,3,1,33,286
6534,205,515,515,720
6535,8,11,52,377
6561,3,3,11,40
6585,8,3,31,280
6536,99,131,180,408
6562,0,0,16,468
6537,1,0,100,772
6581,0,1,15,297
6524,21,9,9,30
6587,11,5,5,16
6557,3,7,7,11
6546,5,4,4,81
6569,11,25,25,36
6564,3,0,10,103
6575,9,9,9,18
6552,2,9,12,17
6558,3,3,3,9
6530,0,0,11,52
6560,1,5,9,25
6531,10,14,14,24
6544,0,1,2,26
6565,3,10,10,14
6553,0,0,3,19
6563,11,24,24,35
