Health_Camp_ID,False Positive,False Negative,y_counts_test,y_counts_train,test_size,train_size
6578,282,546,551,1297,852,1985
6532,0,0,77,185,598,1395
6543,13,13,248,578,1963,4580
6580,0,2,83,177,1056,2461
6570,0,0,92,184,1070,2494
6542,11,11,120,242,711,1657
6571,2,3,65,130,626,1460
6527,372,725,755,1722,1244,2900
6526,0,0,47,93,1143,2666
6539,18,7,73,181,598,1394
6528,143,381,381,862,524,1220
6555,108,148,202,490,522,1216
6541,167,240,246,683,465,1082
6523,173,453,453,1009,626,1458
6538,21,23,192,433,1187,2767
6549,37,87,180,377,551,1284
6586,53,35,174,426,788,1836
6554,11,13,107,239,691,1612
6529,535,445,495,1163,1147,2676
6540,1,0,47,93,428,998
6534,316,764,764,1768,1080,2517
6535,3,4,74,178,565,1317
6561,0,0,17,38,60,140
6585,4,2,51,152,420,978
6536,169,231,279,639,612,1425
6562,0,0,25,64,702,1636
6537,4,0,155,326,1158,2701
6581,1,0,22,67,446,1039
6524,14,15,16,38,45,104
6587,15,9,9,27,24,55
6557,5,11,11,25,16,36
6546,0,0,7,11,121,282
6569,18,36,36,76,54,123
6564,0,0,13,36,155,359
6575,11,16,16,35,27,63
6552,10,15,15,28,25,57
6558,10,4,4,16,14,30
6530,0,0,15,27,78,181
6560,7,10,12,29,37,86
6531,14,22,22,57,36,84
6544,0,0,3,10,39,89
6565,8,12,12,29,20,46
6553,0,0,4,7,29,65
6563,15,37,37,80,52,119
