,Patient_ID,Online_Follower,LinkedIn_Shared,Twitter_Shared,Facebook_Shared,Income,Education_Score,Age,First_Interaction,City_Type,Employer_Category,Job_Type
0,516956,0,0,0,0,1,1,1,18-Jun-03,0,Software Industry,1.0
1,507733,0,0,0,0,1,0,1,20-Jul-03,1,Software Industry,1.0
2,508307,0,0,0,0,3,1,1,02-Nov-02,1,BFSI,2.0
3,512612,0,0,0,0,1,1,1,02-Nov-02,1,Education,3.0
4,521075,0,0,0,0,3,0,1,24-Nov-02,1,Others,4.0
5,502103,0,0,0,0,0,0,0,06-Apr-03,0,,9999.0
6,528501,0,0,0,0,0,0,0,26-Apr-03,0,,9999.0
7,519202,0,0,0,0,0,0,0,05-Apr-03,0,,9999.0
8,521359,0,0,0,0,0,0,0,10-Apr-03,1,,9999.0
9,487977,0,1,1,0,4,1,1,08-Jun-03,1,Technology,5.0
10,518680,0,1,0,0,0,0,1,31-May-03,1,,9999.0
11,497120,0,1,0,1,1,1,1,12-Apr-03,1,Education,3.0
12,528043,0,0,0,0,0,1,1,06-Jul-03,1,Consulting,6.0
13,510954,0,0,0,0,0,0,0,04-Jul-03,1,,9999.0
14,509188,0,0,0,0,1,1,1,06-Mar-03,1,Technology,5.0
15,511565,0,0,0,0,0,0,0,07-Jul-03,0,,9999.0
16,495861,0,0,0,0,0,0,0,06-Jul-03,0,,9999.0
17,518080,0,0,0,0,0,0,1,12-Jul-03,1,Consulting,6.0
18,488558,1,1,1,0,0,0,1,09-Nov-02,1,,9999.0
19,514739,0,0,0,0,0,0,0,08-Jul-03,1,,9999.0
20,513231,0,0,0,0,0,0,1,06-Jul-03,1,Others,4.0
21,515459,0,0,0,0,2,1,1,08-Feb-03,1,BFSI,2.0
22,492934,0,0,0,0,0,0,0,06-Apr-03,1,,9999.0
23,504923,0,0,0,0,0,0,0,04-Jul-03,1,,9999.0
24,521281,0,0,0,0,0,0,0,05-Jul-03,0,,9999.0
25,526333,0,0,0,0,0,0,0,06-Jul-03,1,,9999.0
26,489594,0,0,0,0,0,0,0,03-Nov-02,1,,9999.0
27,499682,0,0,0,0,3,0,1,04-Jul-03,1,Technology,5.0
28,490135,0,0,0,0,0,0,1,02-Jul-03,1,,9999.0
29,493258,1,1,0,1,3,1,1,21-Apr-03,1,Manufacturing,7.0
30,518278,0,0,0,0,0,0,0,11-May-03,1,,9999.0
31,504568,0,0,0,0,0,0,0,06-Jul-03,1,,9999.0
32,504677,0,0,0,0,0,0,0,08-Feb-03,1,,9999.0
33,506181,0,1,0,1,0,0,1,07-Feb-03,1,,9999.0
34,492765,0,0,0,0,2,0,1,06-Mar-03,1,Consulting,6.0
35,509797,0,0,0,0,0,0,1,08-Jul-03,1,Technology,5.0
36,511338,0,0,1,0,2,0,1,06-Mar-03,1,Software Industry,1.0
37,524857,0,0,0,0,0,0,1,16-Jul-03,1,,9999.0
38,504955,0,0,0,0,0,0,0,17-Dec-02,1,,9999.0
39,496350,0,1,1,0,0,0,1,09-May-03,1,Technology,5.0
40,525761,0,0,0,0,0,0,1,28-May-03,1,,9999.0
41,517875,0,0,0,0,0,0,1,17-Jul-03,1,,9999.0
42,503693,0,0,0,0,0,0,0,04-Jul-03,1,,9999.0
43,489945,0,0,0,0,0,0,0,25-Dec-02,1,,9999.0
44,522870,0,0,0,0,0,0,0,03-Jun-03,0,,9999.0
45,507402,0,0,0,0,0,0,0,20-Jun-03,1,,9999.0
46,517351,0,0,0,0,0,0,0,08-Feb-03,1,,9999.0
47,512302,0,0,0,0,0,0,1,30-Apr-03,1,,9999.0
48,493522,0,0,0,0,0,0,0,19-Jul-03,0,,9999.0
49,528182,0,0,0,0,1,0,1,06-Mar-03,1,Others,4.0
50,526542,0,0,0,0,0,0,1,06-Jul-03,1,Software Industry,1.0
51,520156,0,1,0,0,0,0,1,02-Jul-03,1,Consulting,6.0
52,527226,0,0,0,0,0,0,0,26-Jun-03,0,,9999.0
53,501825,0,1,0,0,0,0,1,06-Apr-03,1,Others,4.0
54,504692,0,0,0,0,1,1,1,04-Jul-03,1,Technology,5.0
55,518855,0,1,0,0,2,1,1,04-Jul-03,1,Education,3.0
56,509843,0,0,0,0,0,0,0,23-Jul-03,1,,9999.0
57,495620,0,1,1,1,3,0,1,04-Jul-03,1,Consulting,6.0
58,504073,0,0,0,0,0,0,0,06-Jul-03,1,,9999.0
59,514992,0,0,0,0,3,0,1,24-Jul-03,1,Manufacturing,7.0
60,517686,0,1,0,0,2,0,1,26-Jun-03,1,Consulting,6.0
61,510500,0,0,0,0,0,0,1,04-Apr-03,1,Software Industry,1.0
62,491040,0,0,0,0,0,0,0,06-Jul-03,1,,9999.0
63,487329,0,0,0,0,0,0,0,24-Jul-03,1,,9999.0
64,510566,0,0,0,0,1,1,1,06-Jul-03,1,,9999.0
65,499844,0,0,0,0,0,0,0,25-Jul-03,0,,9999.0
66,491347,0,0,0,0,0,0,0,23-Jul-03,1,,9999.0
67,486243,0,0,0,0,0,0,1,23-Jul-03,1,,9999.0
68,513947,0,0,0,0,0,0,0,23-Jul-03,0,,9999.0
69,496001,0,0,0,0,0,0,1,25-Jul-03,1,Technology,5.0
70,517141,0,0,0,0,0,0,0,06-Jul-03,0,,9999.0
71,523430,0,0,0,0,0,0,0,06-Apr-03,1,,9999.0
72,492822,0,0,0,0,0,0,0,26-Jul-03,1,,9999.0
73,511862,0,0,0,0,0,0,1,04-Jul-03,1,Others,4.0
74,498743,1,1,1,1,1,0,1,26-Apr-03,1,Technology,5.0
75,498848,0,0,0,0,2,0,1,02-Jul-03,1,Software Industry,1.0
76,493167,0,0,0,0,0,0,0,29-Nov-02,0,,9999.0
77,495152,0,0,0,0,3,0,1,06-Mar-03,0,Consulting,6.0
78,517340,0,0,0,0,0,0,1,08-Feb-03,1,,9999.0
79,520068,0,0,0,0,0,0,0,06-Aug-03,1,,9999.0
80,490642,0,0,0,0,0,0,0,06-Aug-03,0,,9999.0
81,501325,0,0,0,0,0,0,0,06-Aug-03,1,,9999.0
82,526981,0,0,0,0,0,0,0,06-Aug-03,0,,9999.0
83,527513,0,0,0,0,1,0,1,06-Aug-03,0,Consulting,6.0
84,506014,0,0,0,0,0,0,0,07-Feb-03,1,,9999.0
85,523306,0,0,0,0,0,0,0,05-Aug-03,0,,9999.0
86,509795,0,0,0,0,0,0,0,02-Jan-03,0,,9999.0
87,507389,0,0,0,0,0,0,0,05-Aug-03,0,,9999.0
88,519161,0,1,0,1,2,1,1,05-Aug-03,1,Consulting,6.0
89,499647,0,0,0,0,0,0,0,05-Aug-03,0,,9999.0
90,487975,0,0,0,0,0,0,1,04-Aug-03,1,Education,3.0
91,505750,0,0,0,0,0,0,0,31-Jul-03,0,,9999.0
92,493295,0,0,0,0,0,0,0,08-Feb-03,1,,9999.0
93,517303,0,0,0,0,0,0,0,04-Aug-03,1,,9999.0
94,489941,0,0,0,0,0,0,0,06-Mar-03,1,,9999.0
95,520198,1,1,0,0,3,1,1,04-Aug-03,1,Consulting,6.0
96,505850,0,0,0,0,0,0,0,03-Aug-03,1,,9999.0
97,503338,0,0,0,0,0,0,0,20-Jun-03,0,,9999.0
98,492367,0,0,0,0,0,0,0,08-Feb-03,1,,9999.0
99,502240,0,0,0,0,2,0,1,02-Aug-03,1,Health,8.0
