Unnamed: 0,Unnamed: 0.1,Patient_ID,Online_Follower,LinkedIn_Shared,Twitter_Shared,Facebook_Shared,Income,Education_Score,Age,First_Interaction,City_Type,Employer_Category,Job_Type,Event1_or_2,online_score,y
0,0,516956,0,0,0,0,1,1,1,18-Jun-03,23384,Software Industry,1.0,1,0,1
1,1,507733,0,0,0,0,1,0,1,20-Jul-03,2517,Software Industry,1.0,0,0,0
2,2,508307,0,0,0,0,3,1,1,02-Nov-02,1704,BFSI,2.0,1,0,1
3,3,512612,0,0,0,0,1,1,1,02-Nov-02,1704,Education,3.0,1,0,1
4,4,521075,0,0,0,0,3,0,1,24-Nov-02,2517,Others,4.0,1,0,1
5,5,502103,0,0,0,0,0,0,0,06-Apr-03,23384,,9999.0,0,0,0
6,6,528501,0,0,0,0,0,0,0,26-Apr-03,23384,,9999.0,0,0,0
7,7,519202,0,0,0,0,0,0,0,05-Apr-03,23384,,9999.0,0,0,0
8,8,521359,0,0,0,0,0,0,0,10-Apr-03,816,,9999.0,1,0,1
9,9,487977,0,1,1,0,4,1,1,08-Jun-03,1352,Technology,5.0,1,2,1
10,10,518680,0,1,0,0,0,0,1,31-May-03,2662,,9999.0,1,1,1
11,11,497120,0,1,0,1,1,1,1,12-Apr-03,2662,Education,3.0,1,2,1
12,12,528043,0,0,0,0,0,1,1,06-Jul-03,2662,Consulting,6.0,1,0,1
13,13,510954,0,0,0,0,0,0,0,04-Jul-03,1352,,9999.0,1,0,1
14,14,509188,0,0,0,0,1,1,1,06-Mar-03,816,Technology,5.0,1,0,1
15,15,511565,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,0,0,0
16,16,495861,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
17,17,518080,0,0,0,0,0,0,1,12-Jul-03,816,Consulting,6.0,1,0,1
18,18,488558,1,1,1,0,0,0,1,09-Nov-02,1352,,9999.0,1,3,1
19,19,514739,0,0,0,0,0,0,0,08-Jul-03,1217,,9999.0,0,0,0
20,20,513231,0,0,0,0,0,0,1,06-Jul-03,2517,Others,4.0,0,0,0
21,21,515459,0,0,0,0,2,1,1,08-Feb-03,1352,BFSI,2.0,1,0,1
22,22,492934,0,0,0,0,0,0,0,06-Apr-03,2662,,9999.0,0,0,0
23,23,504923,0,0,0,0,0,0,0,04-Jul-03,2517,,9999.0,1,0,1
24,24,521281,0,0,0,0,0,0,0,05-Jul-03,23384,,9999.0,0,0,0
25,25,526333,0,0,0,0,0,0,0,06-Jul-03,1352,,9999.0,0,0,0
26,26,489594,0,0,0,0,0,0,0,03-Nov-02,2662,,9999.0,0,0,0
27,27,499682,0,0,0,0,3,0,1,04-Jul-03,1217,Technology,5.0,1,0,1
28,28,490135,0,0,0,0,0,0,1,02-Jul-03,816,,9999.0,1,0,1
29,29,493258,1,1,0,1,3,1,1,21-Apr-03,2662,Manufacturing,7.0,1,3,1
30,30,518278,0,0,0,0,0,0,0,11-May-03,1352,,9999.0,1,0,1
31,31,504568,0,0,0,0,0,0,0,06-Jul-03,1704,,9999.0,1,0,1
32,32,504677,0,0,0,0,0,0,0,08-Feb-03,2662,,9999.0,0,0,0
33,33,506181,0,1,0,1,0,0,1,07-Feb-03,2517,,9999.0,1,2,1
34,34,492765,0,0,0,0,2,0,1,06-Mar-03,1352,Consulting,6.0,1,0,1
35,35,509797,0,0,0,0,0,0,1,08-Jul-03,2662,Technology,5.0,1,0,1
36,36,511338,0,0,1,0,2,0,1,06-Mar-03,1704,Software Industry,1.0,1,1,1
37,37,524857,0,0,0,0,0,0,1,16-Jul-03,1352,,9999.0,1,0,1
38,38,504955,0,0,0,0,0,0,0,17-Dec-02,2662,,9999.0,0,0,0
39,39,496350,0,1,1,0,0,0,1,09-May-03,1036,Technology,5.0,1,2,1
40,40,525761,0,0,0,0,0,0,1,28-May-03,2662,,9999.0,1,0,1
41,41,517875,0,0,0,0,0,0,1,17-Jul-03,2662,,9999.0,1,0,1
42,42,503693,0,0,0,0,0,0,0,04-Jul-03,2517,,9999.0,0,0,0
43,43,489945,0,0,0,0,0,0,0,25-Dec-02,2662,,9999.0,1,0,1
44,44,522870,0,0,0,0,0,0,0,03-Jun-03,23384,,9999.0,0,0,0
45,45,507402,0,0,0,0,0,0,0,20-Jun-03,1352,,9999.0,0,0,0
46,46,517351,0,0,0,0,0,0,0,08-Feb-03,2662,,9999.0,1,0,1
47,47,512302,0,0,0,0,0,0,1,30-Apr-03,1729,,9999.0,0,0,0
48,48,493522,0,0,0,0,0,0,0,19-Jul-03,23384,,9999.0,0,0,0
49,49,528182,0,0,0,0,1,0,1,06-Mar-03,1352,Others,4.0,0,0,0
50,50,526542,0,0,0,0,0,0,1,06-Jul-03,1704,Software Industry,1.0,1,0,1
51,51,520156,0,1,0,0,0,0,1,02-Jul-03,2662,Consulting,6.0,1,1,1
52,52,527226,0,0,0,0,0,0,0,26-Jun-03,23384,,9999.0,0,0,0
53,53,501825,0,1,0,0,0,0,1,06-Apr-03,1352,Others,4.0,1,1,1
