Health_Camp_ID,False Positive,False Negative,y_counts_test,y_counts_train,test_size,train_size
6578,196,354,362,1486,568,2269
6532,2,3,52,210,399,1594
6543,10,7,158,668,1309,5234
6580,1,1,56,204,704,2813
6570,3,2,63,213,713,2851
6542,11,5,80,282,474,1894
6571,0,3,41,154,418,1668
6527,161,450,522,1955,829,3315
6526,0,0,32,108,762,3047
6539,3,2,48,206,399,1593
6528,95,250,253,990,349,1395
6555,36,29,138,554,348,1390
6541,95,162,169,760,310,1237
6523,116,299,300,1162,417,1667
6538,4,5,132,493,791,3163
6549,12,19,129,428,367,1468
6586,18,7,119,481,525,2099
6554,9,6,71,275,461,1842
6529,130,155,346,1312,765,3058
6540,2,0,33,107,286,1140
6534,204,511,515,2017,720,2877
6535,3,2,52,200,377,1505
6561,3,2,11,44,40,160
6585,3,2,31,172,280,1118
6536,39,84,180,738,408,1629
6562,1,0,16,73,468,1870
6537,1,0,100,381,772,3087
6581,0,1,15,74,297,1188
6524,2,1,9,45,30,119
6587,9,3,5,31,16,63
6557,3,7,7,29,11,41
6546,0,0,4,14,81,322
6569,11,25,25,87,36,141
6564,1,0,10,39,103,411
6575,8,6,9,42,18,72
6552,2,8,12,31,17,65
6558,2,3,3,17,9,35
6530,1,0,11,31,52,207
6560,0,4,9,32,25,98
6531,9,14,14,65,24,96
6544,0,1,2,11,26,102
6565,2,10,10,31,14,52
6553,0,0,3,8,19,75
6563,10,24,24,93,35,136
