,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Patient_ID,Online_Follower,LinkedIn_Shared,Twitter_Shared,Facebook_Shared,Income,Education_Score,Age,First_Interaction,City_Type,Employer_Category,Job_Type,Event1_or_2,Education_Score2,Education_Scorez,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,9999.0
0,0,0,0,516956,0,0,0,0,1,1,1,18-Jun-03,Z,Software Industry,1.0,1,90.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,507733,0,0,0,0,1,0,1,20-Jul-03,H,Software Industry,1.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,508307,0,0,0,0,3,1,1,02-Nov-02,D,BFSI,2.0,1,87.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,512612,0,0,0,0,1,1,1,02-Nov-02,D,Education,3.0,1,75.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,521075,0,0,0,0,3,0,1,24-Nov-02,H,Others,4.0,1,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,5,5,5,502103,0,0,0,0,0,0,0,06-Apr-03,Z,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,6,6,528501,0,0,0,0,0,0,0,26-Apr-03,Z,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,7,7,7,519202,0,0,0,0,0,0,0,05-Apr-03,Z,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,8,8,521359,0,0,0,0,0,0,0,10-Apr-03,F,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,9,9,9,487977,0,1,1,0,4,1,1,08-Jun-03,G,Technology,5.0,1,72.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,10,10,10,518680,0,1,0,0,0,0,1,31-May-03,B,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,11,11,11,497120,0,1,0,1,1,1,1,12-Apr-03,B,Education,3.0,1,75.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,12,528043,0,0,0,0,0,1,1,06-Jul-03,B,Consulting,6.0,1,73.85333333,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,13,13,13,510954,0,0,0,0,0,0,0,04-Jul-03,G,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,14,14,14,509188,0,0,0,0,1,1,1,06-Mar-03,F,Technology,5.0,1,67.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,15,15,15,511565,0,0,0,0,0,0,0,07-Jul-03,Z,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,16,16,16,495861,0,0,0,0,0,0,0,06-Jul-03,Z,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,17,17,17,518080,0,0,0,0,0,0,1,12-Jul-03,F,Consulting,6.0,1,50.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,18,18,18,488558,1,1,1,0,0,0,1,09-Nov-02,G,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,19,19,19,514739,0,0,0,0,0,0,0,08-Jul-03,E,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,20,20,20,513231,0,0,0,0,0,0,1,06-Jul-03,H,Others,4.0,0,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,21,21,21,515459,0,0,0,0,2,1,1,08-Feb-03,G,BFSI,2.0,1,79.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,22,22,492934,0,0,0,0,0,0,0,06-Apr-03,B,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,23,23,23,504923,0,0,0,0,0,0,0,04-Jul-03,H,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,24,24,24,521281,0,0,0,0,0,0,0,05-Jul-03,Z,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,25,25,25,526333,0,0,0,0,0,0,0,06-Jul-03,G,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,26,26,26,489594,0,0,0,0,0,0,0,03-Nov-02,B,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,27,27,27,499682,0,0,0,0,3,0,1,04-Jul-03,E,Technology,5.0,1,50.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,28,28,28,490135,0,0,0,0,0,0,1,02-Jul-03,F,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,29,29,29,493258,1,1,0,1,3,1,1,21-Apr-03,B,Manufacturing,7.0,1,83.75666667,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,30,30,30,518278,0,0,0,0,0,0,0,11-May-03,G,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,31,31,31,504568,0,0,0,0,0,0,0,06-Jul-03,D,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,32,32,32,504677,0,0,0,0,0,0,0,08-Feb-03,B,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,33,33,33,506181,0,1,0,1,0,0,1,07-Feb-03,H,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,34,34,34,492765,0,0,0,0,2,0,1,06-Mar-03,G,Consulting,6.0,1,50.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,35,35,35,509797,0,0,0,0,0,0,1,08-Jul-03,B,Technology,5.0,1,50.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,36,36,36,511338,0,0,1,0,2,0,1,06-Mar-03,D,Software Industry,1.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,37,37,524857,0,0,0,0,0,0,1,16-Jul-03,G,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,38,38,38,504955,0,0,0,0,0,0,0,17-Dec-02,B,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,39,39,39,496350,0,1,1,0,0,0,1,09-May-03,I,Technology,5.0,1,50.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,40,40,40,525761,0,0,0,0,0,0,1,28-May-03,B,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,41,41,41,517875,0,0,0,0,0,0,1,17-Jul-03,B,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,42,42,42,503693,0,0,0,0,0,0,0,04-Jul-03,H,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,43,43,43,489945,0,0,0,0,0,0,0,25-Dec-02,B,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,44,44,44,522870,0,0,0,0,0,0,0,03-Jun-03,Z,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,45,45,45,507402,0,0,0,0,0,0,0,20-Jun-03,G,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,46,46,46,517351,0,0,0,0,0,0,0,08-Feb-03,B,,9999.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,47,47,47,512302,0,0,0,0,0,0,1,30-Apr-03,A,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,48,48,48,493522,0,0,0,0,0,0,0,19-Jul-03,Z,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,49,49,49,528182,0,0,0,0,1,0,1,06-Mar-03,G,Others,4.0,0,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,50,50,50,526542,0,0,0,0,0,0,1,06-Jul-03,D,Software Industry,1.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,51,51,520156,0,1,0,0,0,0,1,02-Jul-03,B,Consulting,6.0,1,50.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,52,52,52,527226,0,0,0,0,0,0,0,26-Jun-03,Z,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,53,53,53,501825,0,1,0,0,0,0,1,06-Apr-03,G,Others,4.0,1,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,54,54,54,504692,0,0,0,0,1,1,1,04-Jul-03,G,Technology,5.0,1,71.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,55,55,55,518855,0,1,0,0,2,1,1,04-Jul-03,F,Education,3.0,1,69.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,56,56,56,509843,0,0,0,0,0,0,0,23-Jul-03,B,,9999.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
